icao,iata,name,country_code,active
IXO,,OCEAN AIR CARGO,IN,true
IYE,IY,Yemenia,YE,true
IZM,H9,Izair,TR,false
JAA,EG,Japan Asia Airways,JP,true
JAB,W9,Air Bagan,MM,true
JAF,JF,Jetairfly,BE,true
JAI,9W,Jet Airways,IN,true
JAL,JL,Japan Airlines,JP,true
JAS,JD,Japan Air System,JP,true
JAT,JU,Jat Airways,RS,false
JAV,R5,Jordan Aviation,JO,false
JAZ,JO,JALways,JP,true
JBA,JB,Helijet,CA,true
JBU,B6,JetBlue Airways,US,true
JCS,0J,Jetclub,CH,false
JEC,JX,Jett8 Airlines Cargo,SG,false
JEF,,Jetflite,FI,true
JET,IV,Wind Jet,IT,true
JEV,N6,Lagun Air,ES,false
JEX,JC,JAL Express,JP,true
JFU,8J,Jet4You,MA,true
JGN,,Jagson Airlines,IN,true
JGO,SG,JetsGo,CA,false
JJA,7C,Jeju Air,KR,true
JJP,,Jetstar Japan ,JP,true
JKK,JK,Spanair,ES,true
JNA,LJ,Jin Air,KR,true
JOL,IP,Atyrau Air Ways,KZ,false
JOR,0B,Blue Air,RO,true
JOS,L3,DHL de Guatemala,GT,false
JOY,JR,Joy Air,CN,true
JPU,,Jupiter Airlines,AE,true
JRB,,Jc royal.britannica,GB,true
JSA,3K,Jetstar Asia Airways,SG,true
JSR,JX,Jusur airways,EG,true
JST,JQ,Jetstar Airways,AU,true
JTA,NU,Japan Transocean Air,JP,true
JTO,NR,Jettor Airlines,HK,true
JTY,VJ,Jatayu Airlines,ID,false
JUS,U7,USA Jet Airlines,US,false
JXX,GX,Jetx Airlines,IS,false
